node,mixed,sit and wait,widely foraging
776,0.001,0.001,0.998
777,0,0,1
778,0,0.001,0.999
779,0.001,0.001,0.998
780,0.001,0.035,0.964
781,0.001,0.001,0.998
782,0.008,0.001,0.991
783,0.001,0.001,0.998
784,0.008,0.037,0.955
785,0,0,1
786,0,0,1
787,0,0,1
788,0,0,1
789,0,0,1
790,0,0,1
791,0,0,1
792,0,0,1
793,0,0,1
794,0.016,0.026,0.958
795,0.042,0.017,0.941
796,0,0,1
797,0,0,1
798,0,0,1
799,0,0,1
800,0,0,1
801,0,0.001,0.999
802,0.007,0.014,0.979
803,0.014,0.012,0.974
804,0.128,0.016,0.856
805,0.139,0.011,0.85
806,0.207,0.107,0.686
807,0,0.001,0.999
808,0,0.02,0.98
809,0,0,1
810,0.001,0.888,0.111
811,0,0.989,0.011
812,0.02,0.727,0.253
813,0.042,0.878,0.08
814,0.469,0.453,0.078
815,0.452,0.468,0.08
816,0.349,0.542,0.109
817,0.041,0.947,0.012
818,0.002,0.99,0.008
819,0.001,0.994,0.005
820,0.001,0.994,0.005
821,0,1,0
822,0,1,0
823,0,1,0
824,0,1,0
825,0,1,0
826,0,1,0
827,0,1,0
828,0,1,0
829,0.001,0.999,0
830,0,1,0
831,0.001,0.999,0
832,0,1,0
833,0,1,0
834,0,1,0
835,0.065,0.935,0
836,0,1,0
837,0,1,0
838,0.002,0.994,0.004
839,0,1,0
840,0.004,0.996,0
841,0.044,0.951,0.005
842,0,1,0
843,0,1,0
844,0,1,0
845,0.003,0.996,0.001
846,0.004,0.995,0.001
847,0.138,0.856,0.006
848,0,1,0
849,0,1,0
850,0,1,0
851,0,0.996,0.004
852,0,0.998,0.002
853,0,1,0
854,0.002,0.991,0.007
855,0.01,0.894,0.096
856,0.004,0.987,0.009
857,0.001,0.998,0.001
858,0,1,0
859,0,1,0
860,0,1,0
861,0.004,0.995,0.001
862,0,0.999,0.001
863,0,1,0
864,0.182,0.807,0.011
865,0.222,0.775,0.003
866,0.205,0.766,0.029
867,0.127,0.798,0.075
868,0,1,0
869,0.01,0.977,0.013
870,0.335,0.318,0.347
871,0.002,0.998,0
872,0,1,0
873,0,1,0
874,0,1,0
875,0,0.999,0.001
876,0,1,0
877,0,1,0
878,0,1,0
879,0,1,0
880,0,1,0
881,0.011,0.988,0.001
882,0.001,0.999,0
883,0,1,0
884,0,1,0
885,0,1,0
886,0,1,0
887,0,1,0
888,0,1,0
889,0,1,0
890,0,1,0
891,0,0.999,0.001
892,0,1,0
893,0,1,0
894,0,1,0
895,0,1,0
896,0,1,0
897,0,1,0
898,0,1,0
899,0,1,0
900,0,1,0
901,0,1,0
902,0,1,0
903,0.038,0.959,0.003
904,0.041,0.956,0.003
905,0.004,0.995,0.001
906,0.416,0.206,0.378
907,0,1,0
908,0.003,0.997,0
909,0.002,0.998,0
910,0,1,0
911,0,0.999,0.001
912,0,1,0
913,0,0.999,0.001
914,0.001,0.998,0.001
915,0,1,0
916,0,1,0
917,0,1,0
918,0,1,0
919,0,1,0
920,0,1,0
921,0,1,0
922,0,1,0
