node,mixed,sit and wait,widely foraging
776,0,0,1
777,0,0,1
778,0.006,0.031,0.963
779,0.003,0,0.997
780,0.007,0,0.993
781,0,0,1
782,0.004,0.038,0.958
783,0,0,1
784,0,0,1
785,0,0,1
786,0,0,1
787,0,0,1
788,0,0,1
789,0,0.001,0.999
790,0,0,1
791,0.001,0,0.999
792,0.021,0.021,0.958
793,0.04,0.013,0.947
794,0,0,1
795,0,0,1
796,0,0,1
797,0,0,1
798,0,0,1
799,0,0.003,0.997
800,0.008,0.013,0.979
801,0.016,0.011,0.973
802,0.114,0.017,0.869
803,0.125,0.009,0.866
804,0.201,0.094,0.705
805,0,0.004,0.996
806,0,0.027,0.973
807,0,0,1
808,0.003,0.904,0.093
809,0.002,0.982,0.016
810,0.023,0.7,0.277
811,0.053,0.863,0.084
812,0.508,0.422,0.07
813,0.478,0.437,0.085
814,0.328,0.539,0.133
815,0.024,0.961,0.015
816,0.004,0.99,0.006
817,0.001,0.993,0.006
818,0,0.996,0.004
819,0,1,0
820,0,1,0
821,0,1,0
822,0,1,0
823,0,1,0
824,0,1,0
825,0,1,0
826,0,1,0
827,0,1,0
828,0,1,0
829,0,1,0
830,0,1,0
831,0,1,0
832,0,1,0
833,0.065,0.934,0.001
834,0,1,0
835,0,1,0
836,0.003,0.993,0.004
837,0.001,0.999,0
838,0.003,0.995,0.002
839,0.043,0.944,0.013
840,0,1,0
841,0,0.999,0.001
842,0.001,0.999,0
843,0.003,0.996,0.001
844,0.003,0.997,0
845,0.117,0.871,0.012
846,0.001,0.999,0
847,0.001,0.999,0
848,0.001,0.999,0
849,0.001,0.994,0.005
850,0.001,0.998,0.001
851,0.001,0.999,0
852,0.003,0.988,0.009
853,0.011,0.874,0.115
854,0.005,0.992,0.003
855,0,0.998,0.002
856,0,0.999,0.001
857,0,0.999,0.001
858,0,0.999,0.001
859,0.003,0.994,0.003
860,0.004,0.996,0
861,0.001,0.999,0
862,0.177,0.799,0.024
863,0.24,0.757,0.003
864,0.193,0.758,0.049
865,0.131,0.787,0.082
866,0,0.999,0.001
867,0.012,0.973,0.015
868,0.339,0.321,0.34
869,0,0.998,0.002
870,0,1,0
871,0,1,0
872,0,0.998,0.002
873,0,1,0
874,0,1,0
875,0,1,0
876,0,1,0
877,0,1,0
878,0,1,0
879,0.001,0.999,0
880,0,1,0
881,0,1,0
882,0,1,0
883,0,1,0
884,0,1,0
885,0,1,0
886,0,1,0
887,0,1,0
888,0,1,0
889,0,1,0
890,0,1,0
891,0,1,0
892,0,1,0
893,0,1,0
894,0,1,0
895,0,1,0
896,0,1,0
897,0,1,0
898,0,1,0
899,0,1,0
900,0,1,0
901,0.039,0.961,0
902,0.04,0.96,0
903,0.003,0.997,0
904,0.389,0.222,0.389
905,0,1,0
906,0.001,0.999,0
907,0,1,0
908,0,1,0
909,0.001,0.999,0
910,0,1,0
911,0,1,0
912,0,1,0
913,0,1,0
914,0,1,0
915,0,1,0
916,0,1,0
917,0,1,0
918,0,1,0
919,0,1,0
920,0.002,0.998,0
921,0,1,0
922,0,1,0
923,0,1,0
924,0,1,0
925,0,1,0
926,0,1,0
927,0,1,0
928,0,1,0
929,0,1,0
930,0.124,0.856,0.02
931,0,0.999,0.001
932,0,1,0
933,0.001,0.999,0
934,0,0.999,0.001
935,0.003,0.995,0.002
936,0.004,0.994,0.002
937,0,0.998,0.002
938,0,1,0
939,0,1,0
940,0.002,0.968,0.03
941,0,1,0
942,0,1,0
943,0,1,0
944,0,1,0
945,0,1,0
946,0,1,0
947,0,1,0
948,0.043,0.952,0.005
949,0,1,0
950,0,1,0
951,0,0.999,0.001
952,0.001,0.993,0.006
953,0,1,0
954,0,1,0
955,0.077,0.923,0
956,0.598,0.396,0.006
957,0,1,0
958,0,1,0
959,0,1,0
960,0.002,0.998,0
961,0,1,0
962,0,1,0
963,0,1,0
964,0,1,0
965,0,1,0
966,0,1,0
967,0,1,0
968,0,1,0
969,0,1,0
